Date,Category,Region,Units_Sold,Unit_Price,Discount_Percent,Sales
2025-01-01,Home,South,5,1999,5,9495.25
2025-01-02,Books,North,7,1999,20,11194.4
2025-01-03,Electronics,West,1,799,5,759.05
2025-01-04,Home,North,3,2499,10,6747.3
2025-01-05,Home,North,2,299,10,538.2
2025-01-06,Books,East,9,799,10,6471.9
2025-01-07,Electronics,East,6,999,10,5394.6
2025-01-08,Electronics,South,3,499,15,1272.45
2025-01-09,Home,West,8,1999,20,12793.6
2025-01-10,Clothing,East,8,999,5,7592.4
2025-01-11,Home,North,2,999,5,1898.1
2025-01-12,Home,South,6,1499,10,8094.6
2025-01-13,Home,North,7,499,10,3143.7
2025-01-14,Home,North,2,999,0,1998.0
2025-01-15,Books,East,2,999,20,1598.4
2025-01-16,Electronics,South,1,499,15,424.15
2025-01-17,Books,West,8,499,5,3792.4
2025-01-18,Books,West,1,999,0,999.0
2025-01-19,Books,East,9,499,0,4491.0
2025-01-20,Home,East,6,999,5,5694.3
2025-01-21,Clothing,South,7,999,15,5944.05
2025-01-22,Electronics,West,7,1499,0,10493.0
2025-01-23,Clothing,West,3,299,0,897.0
2025-01-24,Books,West,2,999,20,1598.4
2025-01-25,Books,North,9,799,15,6112.35
2025-01-26,Clothing,West,8,1999,0,15992.0
2025-01-27,Clothing,North,7,2499,15,14869.05
2025-01-28,Clothing,South,9,299,5,2556.45
2025-01-29,Books,North,4,299,10,1076.4
2025-01-30,Books,South,4,299,0,1196.0
2025-01-31,Electronics,West,1,1499,20,1199.2
2025-02-01,Electronics,West,8,999,5,7592.4
2025-02-02,Books,South,3,1499,15,3822.45
2025-02-03,Clothing,East,7,999,5,6643.35
2025-02-04,Clothing,South,2,1499,0,2998.0
2025-02-05,Electronics,East,2,1499,15,2548.3
2025-02-06,Books,North,7,1999,10,12593.7
2025-02-07,Electronics,North,6,799,5,4554.3
2025-02-08,Electronics,North,3,1499,0,4497.0
2025-02-09,Home,West,9,1999,20,14392.8
2025-02-10,Home,North,6,499,15,2544.9
2025-02-11,Home,East,6,799,5,4554.3
2025-02-12,Clothing,North,1,1499,5,1424.05
2025-02-13,Books,South,4,2499,10,8996.4
2025-02-14,Books,South,6,299,10,1614.6
2025-02-15,Books,West,6,499,20,2395.2
2025-02-16,Books,South,5,499,20,1996.0
2025-02-17,Home,East,1,1999,0,1999.0
2025-02-18,Clothing,North,8,499,0,3992.0
2025-02-19,Clothing,West,5,799,20,3196.0
2025-02-20,Home,North,5,1499,20,5996.0
2025-02-21,Clothing,North,7,1499,15,8919.05
2025-02-22,Home,East,4,2499,10,8996.4
2025-02-23,Books,South,6,299,0,1794.0
2025-02-24,Home,South,4,1999,10,7196.4
2025-02-25,Books,North,3,299,10,807.3
2025-02-26,Books,West,7,499,20,2794.4
2025-02-27,Electronics,South,8,2499,15,16993.2
2025-02-28,Home,West,4,299,5,1136.2
2025-03-01,Electronics,South,2,799,15,1358.3
2025-03-02,Home,West,3,1499,15,3822.45
2025-03-03,Home,East,1,499,10,449.1
2025-03-04,Electronics,West,8,2499,15,16993.2
2025-03-05,Electronics,East,3,299,0,897.0
2025-03-06,Home,East,7,1999,10,12593.7
2025-03-07,Clothing,West,5,799,0,3995.0
2025-03-08,Books,East,5,799,5,3795.25
2025-03-09,Electronics,North,7,299,10,1883.7
2025-03-10,Books,East,9,1499,5,12816.45
2025-03-11,Clothing,South,5,299,10,1345.5
2025-03-12,Clothing,West,1,499,20,399.2
2025-03-13,Clothing,North,1,299,15,254.15
2025-03-14,Electronics,West,2,799,20,1278.4
2025-03-15,Clothing,South,6,2499,5,14244.3
2025-03-16,Electronics,South,9,299,15,2287.35
2025-03-17,Clothing,South,8,1499,10,10792.8
2025-03-18,Books,East,5,2499,15,10620.75
2025-03-19,Books,East,1,1999,0,1999.0
2025-03-20,Home,West,7,999,15,5944.05
2025-03-21,Books,West,5,299,0,1495.0
2025-03-22,Home,North,6,1499,15,7644.9
2025-03-23,Books,North,7,2499,0,17493.0
2025-03-24,Electronics,West,3,1499,5,4272.15
2025-03-25,Books,East,3,1999,20,4797.6
2025-03-26,Home,South,5,799,10,3595.5
2025-03-27,Home,West,6,1499,15,7644.9
2025-03-28,Clothing,North,9,2499,20,17992.8
2025-03-29,Electronics,East,5,1499,10,6745.5
2025-03-30,Books,West,1,1499,10,1349.1
2025-03-31,Clothing,West,4,1499,0,5996.0
2025-04-01,Books,East,5,499,5,2370.25
2025-04-02,Books,West,5,499,5,2370.25
2025-04-03,Clothing,East,7,799,20,4474.4
2025-04-04,Clothing,South,4,299,5,1136.2
2025-04-05,Clothing,East,1,1499,15,1274.15
2025-04-06,Clothing,East,5,1999,5,9495.25
2025-04-07,Clothing,East,7,299,20,1674.4
2025-04-08,Books,West,6,1999,5,11394.3
2025-04-09,Clothing,West,5,299,15,1270.75
2025-04-10,Electronics,East,4,799,0,3196.0
2025-04-11,Home,West,2,1499,20,2398.4
2025-04-12,Clothing,North,4,1499,0,5996.0
2025-04-13,Clothing,North,3,999,0,2997.0
2025-04-14,Books,West,1,1999,0,1999.0
2025-04-15,Clothing,West,8,299,10,2152.8
2025-04-16,Clothing,East,5,299,10,1345.5
2025-04-17,Clothing,South,4,499,0,1996.0
2025-04-18,Books,West,8,999,20,6393.6
